@relation CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R10-12

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute label {1,-1}

@data
49.0625,0.086958,0.292831,7.379206,0.941176,2.229051,0.166667,3.606831,2.882704,0.554224,0.416897,0.380937,2,0,0.5,3,3,2,0.2,-1
38.166667,0.068348,0.340228,7.772684,0.857143,1.31586,0.083333,4.343056,3.033794,0.5002,0.461033,0.442438,2,0,1,1,1,1,0.1,-1
58.052632,0.089192,0.33756,7.590809,0.883721,1.684762,0.052632,3.477226,2.823106,0.291179,0.225244,0.215025,0,0,0,2,2,2,0.2,-1
44.5,0.048981,0.300476,9.138487,0.5,0.606298,0.25,11.329062,3.013071,1.500601,1.353654,1.327314,0,1,2,1,1,1,0.125,-1
66.3,0.07754,0.315856,7.676914,0.909091,2.553908,0.116667,3.730957,2.993845,0.30012,0.30012,0.30012,8,1,2.5,3,2,2,0.1,-1
56.210526,0.057402,0.280676,7.465681,0.95,2.20536,0.105263,3.111291,3.034055,0.34118,0.315916,0.315916,10.333333,0.5,19,3,2,1,0.1,-1
41.888889,0.093463,0.333541,8.055521,0.9,2.826695,0.055556,3.648399,2.987676,0.333467,0.323338,0.323338,0,18,0,1,1,1,0.1,-1
29,0.041501,0.375223,8.365868,0.75,1.699197,0.166667,5.111002,3.057476,0.620004,0.583495,0.477818,5,0,2,1,1,1,0.125,-1
42.230769,0.062788,0.376856,7.77773,0.8125,2.217042,0.128205,3.012738,3.11327,0.531225,0.425569,0.425569,0,0,0,2,2,1,0.2,-1
50.111111,0.057056,0.227052,7.64112,0.9,1.253363,0.111111,3.477674,2.900052,0.646676,0.629548,0.589917,5,0,0,1,1,1,0.1,-1
51.933333,0.073802,0.306721,7.77052,0.789474,2.36491,0.177778,4.516187,2.962659,0.40016,0.368827,0.347596,3.6,7,0,5,2,1,0.2,-1
40.714286,0.053044,0.293752,7.909044,0.875,1.332212,0.142857,3.194038,2.939829,0.682661,0.674496,0.659444,0,3,0,1,1,1,0.125,-1
31.7,0.074243,0.220283,7.232684,1,1.57398,0.133333,3.684683,2.900052,1.200481,0.582008,0.566593,0,0,0,2,1,1,0.1,-1
53.625,0.064029,0.328774,8.090465,0.842105,2.128445,0.083333,4.531483,3.070598,0.37515,0.363755,0.354121,4,3,0,2,1,1,0.1,-1
63.733333,0.066976,0.295887,7.314525,1,1.456539,0.133333,4.877196,3.03832,0.672919,0.653839,0.580499,0,0,0,2,2,2,0.1,-1
55,0.07709,0.287475,7.259151,0.952381,2.810659,0.133333,3.082632,2.905587,0.527625,0.521395,0.378637,2.666667,2.666667,2,3,3,2,0.3,-1
58.1,0.039299,0.322632,7.390386,1,1.748411,0.133333,4.374408,2.945039,0.620197,0.55324,0.541462,0,0,1,2,1,1,0.2,-1
46,0.061868,0.439018,7.771137,0.818182,1.431973,0.111111,4.396721,2.903702,0.646676,0.646676,0.589917,8,8,0,1,1,1,0.1,-1
66.857143,0.059561,0.272004,7.596747,0.933333,1.433914,0.142857,4.672192,3.006867,0.758465,0.41572,0.404709,12,5.5,3.5,2,2,2,0.2,-1
47.24,0.093749,0.326288,8.010669,0.862069,1.38029,0.08,6.62784,2.797263,0.240096,0.226637,0.216585,0.5,1.5,6.5,2,2,2,0.2,-1
63.066667,0.063361,0.363571,7.869425,0.882353,1.942236,0.155556,3.044066,3.10391,0.40016,0.40016,0.40016,14.666667,8.5,14.5,3,2,2,0.1,-1
62.428571,0.070224,0.240556,7.375086,0.933333,1.397093,0.071429,3.468795,2.81803,0.428743,0.428743,0.428743,1.5,12,2,2,1,1,0.2,-1
49.9,0.039024,0.303982,7.611341,0.909091,1.383414,0.1,4.05025,2.965957,0.566593,0.566593,0.566593,1,1,0,1,1,1,0.1,-1
40.285714,0.059626,0.435278,7.998564,0.875,1.948536,0.142857,4.198108,2.984234,0.83144,0.758465,0.710398,2,2,0,1,1,1,0.125,-1
48.888889,0.09645,0.389611,7.090573,1,1.953743,0.148148,3.391451,2.947703,0.666934,0.666934,0.589917,2.5,1,4,2,1,1,0.111111,-1
47.625,0.09208,0.343712,7.744393,0.888889,2.201512,0.0625,4.477208,2.922149,0.363755,0.354121,0.354121,6,6,0,1,1,1,0.3,-1
40.333333,0.036751,0.367976,7.645397,1,2.457619,0.111111,3.852507,3.055839,0.333467,0.323338,0.314774,8.666667,0,6,3,2,1,0.3,-1
51.1875,0.041123,0.326664,7.4328,1,1.339746,0.072917,4.488448,3.027655,0.187575,0.181878,0.172888,0.25,0,0,4,3,2,0.2,-1
38.125,0.059701,0.279607,8.116223,0.8,1.800183,0.125,3.70882,2.905308,0.750301,0.72751,0.69155,2,6,6,1,1,1,0.2,-1
51.695652,0.061019,0.354108,7.715579,0.851852,0.928915,0.086957,6.962568,2.865261,0.260974,0.260974,0.241353,15,15,0,2,2,2,0.4,-1
40.555556,0.060402,0.223726,7.407539,1,1.200664,0.148148,3.698745,3.002172,0.666934,0.629548,0.594971,0,0,1,2,1,1,0.111111,-1
79.285714,0.05401,0.333358,7.522899,0.875,1.501917,0.142857,3.573143,2.889549,0.857486,0.83144,0.83144,3,1,1,1,1,1,0.125,-1
68.357143,0.072271,0.343644,7.772248,0.823529,1.384033,0.071429,5.12661,2.968919,0.428743,0.428743,0.41572,0,0,4,1,1,1,0.1,-1
